t,tau_cmd,tau_meas,q,dq
5.646226538,1.497865991,1.444000006,0.698131680,5.602507114
5.656779092,1.495218182,1.424999952,0.767944872,5.846852779
5.667362216,1.491506474,1.481999874,0.837758064,6.091198921
5.677834783,1.486794873,1.406000018,0.907571197,6.318091869
5.688423206,1.480984068,1.462999940,0.977384388,6.562438011
5.698902555,1.474200518,1.462999940,1.047197580,6.806784153
5.709422030,1.466362580,1.444000006,1.134464025,7.051130295
5.719769328,1.457653017,1.444000006,1.221730471,7.278022766
5.730266482,1.447810089,1.406000018,1.291543603,7.522368908
5.740774168,1.436948121,1.424999952,1.378810167,7.766715050
5.751268796,1.425099419,1.386999965,1.466076612,7.993607998
5.761769485,1.412251651,1.348999977,1.570796371,8.220500946
5.772280830,1.398405787,1.368000031,1.658062816,8.464846611
5.782755797,1.383636993,1.273000002,1.762782574,8.691740036
5.793251428,1.367877312,1.348999977,1.850049019,8.901179314
5.803750193,1.351160760,1.310999990,1.954768777,9.110618591
5.814330614,1.333362549,1.292000055,2.059488535,9.320057869
5.824779367,1.314860525,1.329999924,2.164208174,9.529498100
5.835393045,1.295138253,1.310999990,2.268928051,9.738937378
5.845896677,1.274713186,1.292000055,2.373647690,9.930923462
5.856288466,1.253631421,1.292000055,2.495820761,10.105456352
5.866807811,1.231420059,1.254000068,2.600540638,10.279989243
5.877337543,1.208324822,1.215999961,2.722713709,10.454522133
5.887816406,1.184501055,1.215999961,2.827433348,10.611601830
5.898235952,1.159997555,1.101999998,2.949606419,10.751228333
5.908770829,1.134414198,0.930999994,3.071779490,10.890854836
5.919236454,1.108211584,0.835999966,3.176499128,10.995573997
5.929765966,1.081075352,0.797999978,3.298672199,11.065387726
5.940270987,1.053247808,0.778999984,3.420845270,11.117747307
5.950744239,1.024773586,0.835999966,3.525565147,11.152653694
5.961271121,0.995438149,0.778999984,3.647738218,11.170106888
5.971765944,0.965498475,0.740999937,3.769911289,11.187560081
5.982245433,0.934932336,0.854999959,3.892084122,11.205014229
5.992931121,0.903097136,0.817000031,3.996803999,11.205014229
6.003245724,0.871749448,0.664999962,4.118977070,11.222467422
6.013759929,0.839192362,0.835999966,4.241149902,11.222467422
6.024276202,0.806042740,0.740999937,4.363323212,11.222467422
6.035051949,0.771491353,0.778999984,4.468042850,11.222467422
6.046048597,0.735648511,0.740999937,4.590216160,11.222467422
6.056847603,0.699902886,0.684000015,4.729842186,11.222467422
6.067336831,0.664688844,0.722000003,4.834561825,11.205014229
6.077873558,0.628850323,0.684000015,4.956735134,11.205014229
6.088336759,0.592825457,0.607999980,5.078907967,11.170106888
6.098753738,0.556552479,0.588999987,5.183628082,11.152653694
6.109270822,0.519544035,0.627000034,5.305800915,11.135200500
6.119745339,0.482324577,0.493999988,5.427973747,11.082840919
6.130350844,0.444299247,0.532000005,5.550147057,11.047934532
6.140901332,0.406157942,0.455999970,5.654866695,10.995573997
6.151274853,0.368377833,0.437000006,5.777040005,10.925761223
6.161766248,0.329913865,0.417999983,5.881759644,10.855947495
6.172344296,0.290900070,0.379999995,6.003932476,10.786134720
6.182755787,0.252299663,0.361000001,6.108652592,10.698868752
6.193272997,0.213132015,0.303999990,6.213372231,10.611601830
6.203884402,0.173462743,0.284999996,6.318091869,10.506881714
6.214271773,0.134511309,0.208999991,6.440264702,10.402162552
6.224742405,0.095154953,0.171000004,6.544984818,10.279989243
6.235248053,0.055600790,0.133000001,6.649704456,10.157815933
6.245830931,0.015716732,0.113999993,6.754424095,10.018189430
6.256268195,-0.023629561,0.018999999,6.841690540,9.878563881
6.266741166,-0.063094089,0.000000000,6.946410656,9.738937378
6.277241399,-0.102617442,0.037999999,7.033677101,9.564404488
6.287748226,-0.142094079,0.000000000,7.138396740,9.389871597
6.298270436,-0.181529206,-0.018999999,7.225663185,9.215338707
6.308764673,-0.220733082,-0.056999996,7.312929630,9.023352623
6.319286597,-0.259886216,-0.113999993,7.400196075,8.813912392
6.329950690,-0.299382819,-0.171000004,7.487462521,8.604473114
6.340890850,-0.339678171,-0.151999995,7.574728966,8.377580643
6.351375542,-0.378055345,-0.171000004,7.661995411,8.150687218
6.361792798,-0.415925771,-0.246999994,7.749261856,7.923794746
6.372520667,-0.454627153,-0.303999990,7.819075108,7.661995411
6.383374462,-0.493446394,-0.266000003,7.888888359,7.400196075
6.393914366,-0.530791864,-0.342000008,7.958701611,7.120943546
6.404404029,-0.567589581,-0.379999995,8.028514862,6.841690540
6.414788220,-0.603628847,-0.455999970,8.098327637,6.544984818
6.425374012,-0.639944454,-0.455999970,8.150687218,6.248278618
6.435789737,-0.675234677,-0.513000011,8.203047752,5.934119225
6.446372108,-0.710615541,-0.588999987,8.255407333,5.602507114
6.456895411,-0.745300528,-0.550999999,8.307766914,5.270894527
6.467268660,-0.778980840,-0.627000034,8.360127449,4.921828270
6.477773536,-0.812548874,-0.664999962,8.395033836,4.555309296
6.488288307,-0.845581368,-0.627000034,8.429940224,4.206243515
6.498860277,-0.878198200,-0.684000015,8.464846611,3.839724302
6.509297103,-0.909790062,-0.703000009,8.499752998,3.455751896
6.519935014,-0.941346313,-0.740999937,8.517207146,3.071779490
6.530885297,-0.973126183,-0.835999966,8.552113533,2.652900457
6.541285401,-1.002627299,-0.874000013,8.569566727,2.251474619
6.551756440,-1.031637594,-0.854999959,8.569566727,1.832595706
6.562241550,-1.059970990,-0.930999994,8.569566727,1.396263361
6.572894443,-1.088003884,-0.968999982,8.587019920,0.959931076
6.583246636,-1.114498512,-0.987999976,8.569566727,0.610865235
6.593738249,-1.140580177,-1.026000023,8.569566727,0.296705961
6.604288248,-1.166007337,-1.064000010,8.569566727,0.017453292
6.614756425,-1.190427139,-1.120999932,8.569566727,-0.191986218
6.625455491,-1.214534018,-1.082999945,8.569566727,-0.418879032
6.636375367,-1.238232807,-1.120999932,8.552113533,-0.628318548
6.646781189,-1.259948456,-1.120999932,8.534660339,-0.837758064
6.657272151,-1.280969430,-1.177999973,8.517207146,-1.029744267
6.667781573,-1.301134552,-1.254000068,8.499752998,-1.239183784
6.678300310,-1.320408653,-1.197000027,8.482299805,-1.431169987
6.688776603,-1.338687814,-1.254000068,8.464846611,-1.623156190
