t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
1.625562765,0.116102302,0.151999995,0.221526881,9.023352623,9.808750153,10.028757634,-11.282324733
1.636071054,0.086459111,0.151999995,0.202948805,9.128071785,9.686577797,9.909855231,-11.694054344
1.646518066,0.056955132,0.151999995,0.166284526,9.215338707,9.546951294,9.783751512,-12.569920056
1.656989760,0.027359292,0.113999993,0.134584479,9.320057869,9.389871597,9.646884101,-13.310961409
1.667605097,-0.002653348,0.075999998,0.108784408,9.407324791,9.232791901,9.502993222,-13.895128910
1.678039353,-0.032153050,0.018999999,0.076981919,9.494590759,9.075712204,9.354519425,-14.632054180
1.688515940,-0.061759902,0.018999999,0.047415764,9.599310875,8.901179314,9.196990480,-15.305789500
1.699009039,-0.091389269,0.018999999,0.030949600,9.686577797,8.726646423,9.033552918,-15.636859265
1.709665358,-0.121442870,0.000000000,0.001740974,9.773843765,8.552113533,8.866259894,-16.295642113
1.720084972,-0.150781610,-0.056999996,-0.042942756,9.843656540,8.360127449,8.690386399,-17.350143269
1.730605551,-0.180345592,-0.075999998,-0.071118830,9.930923462,8.150687218,8.502848962,-17.970382140
1.741044135,-0.209609096,-0.075999998,-0.088999309,10.018189430,7.958701611,8.313765853,-18.323118789
1.751627029,-0.239194265,-0.094999999,-0.128116176,10.088003159,7.749261856,8.117609112,-19.221638927
1.762023001,-0.268164276,-0.151999995,-0.166288974,10.157815933,7.522368908,7.910771996,-20.089484009
1.772562715,-0.297429677,-0.208999991,-0.197856190,10.245082855,7.295476437,7.696965943,-20.782215634
1.783109185,-0.326596332,-0.227999985,-0.238894106,10.314895630,7.051130295,7.472547663,-21.713998706
1.793555970,-0.355360097,-0.246999994,-0.270831295,10.384709358,6.806784153,7.241204748,-22.406083240
1.803961808,-0.383874153,-0.266000003,-0.295459400,10.437068939,6.562438011,7.005343404,-22.906266539
1.814539425,-0.412707495,-0.303999990,-0.337348333,10.506881714,6.300638676,6.760468995,-23.848156493
1.825005354,-0.441074957,-0.303999990,-0.364432539,10.559242249,6.021386147,6.503648700,-24.399716532
1.835663640,-0.469787308,-0.323000014,-0.384367511,10.611601830,5.759586334,6.245098097,-24.765140534
1.846181734,-0.497936160,-0.379999995,-0.425080056,10.663961411,5.480333805,5.979353883,-25.664397233
1.856560027,-0.525519084,-0.398999989,-0.459396914,10.716321945,5.201081276,5.708915730,-26.395302386
1.867016913,-0.553107465,-0.437000006,-0.497547082,10.768681526,4.904375076,5.429349822,-27.220146486
1.877540355,-0.580654477,-0.455999970,-0.528870625,10.803587914,4.590216160,5.137763358,-27.861207246
1.888012685,-0.607840909,-0.474999994,-0.562856210,10.855947495,4.293509960,4.844397862,-28.570163113
1.898539886,-0.634931058,-0.474999994,-0.603261801,10.873401642,3.961897373,4.537742071,-29.437611958
